epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,3786.53,0.80064,0.83802,1.00609,0.89006,0.80342,0.86585,0.70235,0.67116,0.75145,0.88023,0.000319079,0.000319079,0.000319079
74,3820.54,0.76991,0.78781,1.00937,0.9075,0.81785,0.86224,0.69963,0.66086,0.71721,0.8768,0.00030808,0.00030808,0.00030808
75,3855,0.77485,0.79589,1.00255,0.95589,0.78773,0.86132,0.69946,0.64497,0.70577,0.87108,0.000297081,0.000297081,0.000297081
76,3888.95,0.75227,0.78006,0.98292,0.93537,0.79997,0.86184,0.71044,0.62768,0.68854,0.86572,0.000286083,0.000286083,0.000286083
77,3923.87,0.77404,0.79652,0.99405,0.93337,0.79923,0.86543,0.71894,0.61866,0.67575,0.86442,0.000275084,0.000275084,0.000275084
78,3958.07,0.71784,0.74164,0.97705,0.90036,0.81842,0.86602,0.71935,0.60869,0.66662,0.86187,0.000264085,0.000264085,0.000264085
79,3992.33,0.74476,0.75314,0.97881,0.92749,0.80499,0.86768,0.73068,0.61652,0.66326,0.86109,0.000253086,0.000253086,0.000253086
80,4026.5,0.72978,0.74857,0.97062,0.92967,0.79893,0.86853,0.72958,0.61345,0.66146,0.86006,0.000242087,0.000242087,0.000242087
81,4060.95,0.79,0.77267,0.97853,0.89688,0.8076,0.87328,0.72623,0.60499,0.65889,0.85824,0.000231088,0.000231088,0.000231088
82,4095.32,0.7864,0.75758,0.98104,0.93539,0.78956,0.88043,0.73619,0.59735,0.65353,0.85585,0.000220089,0.000220089,0.000220089
83,4129.75,0.79347,0.74159,0.97593,0.84676,0.85894,0.88008,0.72654,0.59626,0.64475,0.85413,0.00020909,0.00020909,0.00020909
84,4163.87,0.72176,0.73785,0.95011,0.89995,0.79974,0.8776,0.73338,0.59853,0.64057,0.85408,0.000198091,0.000198091,0.000198091
85,4198.18,0.7486,0.75608,0.96701,0.89467,0.79737,0.87171,0.73807,0.60047,0.64189,0.85417,0.000187092,0.000187092,0.000187092
86,4232.5,0.70375,0.68938,0.96481,0.96977,0.76126,0.8722,0.73418,0.59897,0.64243,0.85346,0.000176094,0.000176094,0.000176094
87,4266.55,0.70047,0.7053,0.96699,0.96747,0.76523,0.87674,0.74026,0.58995,0.63957,0.85191,0.000165095,0.000165095,0.000165095
88,4300.51,0.67109,0.6806,0.95784,0.97044,0.76708,0.85944,0.73978,0.58348,0.63236,0.85125,0.000154096,0.000154096,0.000154096
89,4334.9,0.72551,0.70269,0.94342,0.96851,0.77104,0.86062,0.73117,0.57998,0.62597,0.85033,0.000143097,0.000143097,0.000143097
90,4368.95,0.74523,0.69636,0.96252,0.9664,0.77429,0.87754,0.73056,0.578,0.62677,0.84833,0.000132098,0.000132098,0.000132098
91,4403.16,0.65458,0.80619,0.92086,0.9648,0.77357,0.85122,0.7258,0.57685,0.63313,0.84638,0.000121099,0.000121099,0.000121099
92,4436.76,0.68735,0.82114,0.90146,0.96426,0.76829,0.85153,0.71639,0.57938,0.64304,0.84572,0.0001101,0.0001101,0.0001101
93,4470.37,0.74164,0.8273,0.92578,0.95075,0.77414,0.85118,0.71023,0.58491,0.66585,0.84553,9.91012e-05,9.91012e-05,9.91012e-05
94,4504.87,0.69887,0.80237,0.90546,0.94538,0.77053,0.84882,0.71074,0.5866,0.67956,0.84543,8.81023e-05,8.81023e-05,8.81023e-05
95,4538.17,0.70103,0.8227,0.92141,0.90489,0.78754,0.85025,0.71386,0.58632,0.67291,0.84531,7.71034e-05,7.71034e-05,7.71034e-05
96,4572.31,0.72536,0.80221,0.92194,0.91546,0.7861,0.85191,0.7246,0.58471,0.65627,0.84511,6.61045e-05,6.61045e-05,6.61045e-05
97,4606.48,0.64336,0.76291,0.91123,0.93563,0.78974,0.87282,0.72622,0.58305,0.6413,0.84482,5.51056e-05,5.51056e-05,5.51056e-05
98,4643.18,0.67452,0.71947,0.89762,0.94467,0.78686,0.87284,0.72635,0.57917,0.63211,0.84435,4.41067e-05,4.41067e-05,4.41067e-05
99,4677.2,0.63525,0.74646,0.88691,0.94585,0.78677,0.87136,0.7324,0.57741,0.629,0.84416,3.31078e-05,3.31078e-05,3.31078e-05
100,4710.83,0.63981,0.73792,0.89263,0.94904,0.78114,0.87078,0.73274,0.57628,0.62886,0.84499,2.21089e-05,2.21089e-05,2.21089e-05
